platform_label,fixture_id,syntax_class,source_mode,frame_process,scan_count,restart_interval,restart_marker_count,component_count,adobe_transform,decoder,jpeg_sha256,structure_contract,shape_contract,dtype_contract,exact_reference_pixels,within_one_code_value,contract_level,reference_bgr_sha256,decoded_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction,laplacian_to_reference_ratio,tenengrad_to_reference_ratio
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,ffmpeg,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,opencv,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,pillow,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,ffmpeg,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,opencv,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,pillow,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,ffmpeg,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,opencv,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,pillow,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,ffmpeg,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
macos-arm64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,opencv,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,pillow,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,ffmpeg,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,3a9cc256ab9773cd8056dd3bc5cadba0654b44c7a1921661705526f711be6206,3.801310221,78,0.807108561,0.984008789,1.042134334,1.020215125
macos-arm64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,opencv,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,pillow,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,ffmpeg,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,0,0,outside_contract,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,237901c20a6f5f94e6c2a28a2e512a86d6397bccff088fdf0d8dcdfbcc8f7079,0.021708171,3,0.017171224,0.028747559,1.011742870,1.004345483
macos-arm64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,opencv,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,pillow,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_420,progressive_rgb_420,BGR,progressive_dct,10,0,0,3,none,ffmpeg,f74ab682582d3d1f7a34aa96ead470191fed2d66a03d96c3d1ed5d5ae7ee84fb,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,3a9cc256ab9773cd8056dd3bc5cadba0654b44c7a1921661705526f711be6206,3.801310221,78,0.807108561,0.984008789,1.042134334,1.020215125
macos-arm64-default,rgb_progressive_420,progressive_rgb_420,BGR,progressive_dct,10,0,0,3,none,opencv,f74ab682582d3d1f7a34aa96ead470191fed2d66a03d96c3d1ed5d5ae7ee84fb,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_420,progressive_rgb_420,BGR,progressive_dct,10,0,0,3,none,pillow,f74ab682582d3d1f7a34aa96ead470191fed2d66a03d96c3d1ed5d5ae7ee84fb,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_444,progressive_rgb,BGR,progressive_dct,10,0,0,3,none,ffmpeg,b45c13e2cb979c0de65fe9d6be810bb7027e31c4ee7c70f68272411f5af94134,1,1,1,0,0,outside_contract,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,237901c20a6f5f94e6c2a28a2e512a86d6397bccff088fdf0d8dcdfbcc8f7079,0.021708171,3,0.017171224,0.028747559,1.011742870,1.004345483
macos-arm64-default,rgb_progressive_444,progressive_rgb,BGR,progressive_dct,10,0,0,3,none,opencv,b45c13e2cb979c0de65fe9d6be810bb7027e31c4ee7c70f68272411f5af94134,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_444,progressive_rgb,BGR,progressive_dct,10,0,0,3,none,pillow,b45c13e2cb979c0de65fe9d6be810bb7027e31c4ee7c70f68272411f5af94134,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_restart_420,progressive_restart_rgb,BGR,progressive_dct,10,4,342,3,none,ffmpeg,2cbfaced58c2db3665006a03ee6920a27c848650f30863cee81577996af23708,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,3a9cc256ab9773cd8056dd3bc5cadba0654b44c7a1921661705526f711be6206,3.801310221,78,0.807108561,0.984008789,1.042134334,1.020215125
macos-arm64-default,rgb_progressive_restart_420,progressive_restart_rgb,BGR,progressive_dct,10,4,342,3,none,opencv,2cbfaced58c2db3665006a03ee6920a27c848650f30863cee81577996af23708,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_progressive_restart_420,progressive_restart_rgb,BGR,progressive_dct,10,4,342,3,none,pillow,2cbfaced58c2db3665006a03ee6920a27c848650f30863cee81577996af23708,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_restart_420,restart_rgb,BGR,baseline_sequential,1,4,15,3,none,ffmpeg,d3a07fb8e92712d8284327c8d94905f70ff3cb96777de12d01e0893c03d60bb1,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,3a9cc256ab9773cd8056dd3bc5cadba0654b44c7a1921661705526f711be6206,3.801310221,78,0.807108561,0.984008789,1.042134334,1.020215125
macos-arm64-default,rgb_restart_420,restart_rgb,BGR,baseline_sequential,1,4,15,3,none,opencv,d3a07fb8e92712d8284327c8d94905f70ff3cb96777de12d01e0893c03d60bb1,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,rgb_restart_420,restart_rgb,BGR,baseline_sequential,1,4,15,3,none,pillow,d3a07fb8e92712d8284327c8d94905f70ff3cb96777de12d01e0893c03d60bb1,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,ffmpeg,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-x64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,opencv,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,pillow,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-x64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,ffmpeg,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-x64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,opencv,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,pillow,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-x64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,ffmpeg,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
macos-x64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,opencv,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,pillow,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,ffmpeg,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
macos-x64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,opencv,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,pillow,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,ffmpeg,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,3.897745768,79,0.867370605,0.998352051,1.026871162,1.012695576
macos-x64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,opencv,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,rgb_baseline_420,baseline_rgb_420,BGR,baseline_sequential,1,0,0,3,none,pillow,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,1,1,1,1,1,exact,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,ffmpeg,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,0,0,outside_contract,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,237901c20a6f5f94e6c2a28a2e512a86d6397bccff088fdf0d8dcdfbcc8f7079,0.021708171,3,0.017171224,0.028747559,1.011742870,1.004345483
macos-x64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,opencv,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,rgb_baseline_444,baseline_rgb,BGR,baseline_sequential,1,0,0,3,none,pillow,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,1,1,1,1,1,exact,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-x64-default,rgb_progressive_420,progressive_rgb_420,BGR,progressive_dct,10,0,0,3,none,ffmpeg,f74ab682582d3d1f7a34aa96ead470191fed2d66a03d96c3d1ed5d5ae7ee84fb,1,1,1,0,0,outside_contract,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,3.897745768,79,0.867370605,0.998352051,1.026871162,1.012695576
