platform_label,fixture_id,fixture_family,metadata_control,decoder,decode_policy,jpeg_sha256,jpeg_core_sha256,exif_orientation,icc_profile_sha256,adobe_transform,shape_contract,dtype_contract,exact_pixels,within_one_code_value,reference_bgr_sha256,candidate_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
macos-arm64-default,cmyk_adobe0,four_component_color,adobe_transform_0,ffmpeg,raw_ignore_orientation_no_icc_transform,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,none,,0,1,1,0,0,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,a1173751889830c7dd701b1190c812ba7064f5a64c18d4f9519ee28c9abe8d3a,1.346376425,3,0.999243234,1.000000000
macos-arm64-default,cmyk_adobe0,four_component_color,adobe_transform_0,opencv,raw_ignore_orientation_no_icc_transform,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,none,,0,1,1,1,1,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,cmyk_adobe0,four_component_color,adobe_transform_0,pillow,raw_ignore_orientation_no_icc_transform,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,none,,0,1,1,0,0,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,1d72a5d596f5c1cec69ea76782dd3d6af58a313e98de7e0e324d8c72762a397f,0.817352208,2,0.797631766,0.993589744
macos-arm64-default,rgb_icc_gamma_1_0,icc_profile,matrix_trc_gamma_1_0,ffmpeg,raw_ignore_orientation_no_icc_transform,938904619cc6ec6eb24f2ae16e85673026b3792fd7cb44d096c5d84342f5aedc,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,0409b34291f553ef52c050af31c58d3dae28030e0cb789e176b1642b48105db0,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_icc_gamma_1_0,icc_profile,matrix_trc_gamma_1_0,opencv,raw_ignore_orientation_no_icc_transform,938904619cc6ec6eb24f2ae16e85673026b3792fd7cb44d096c5d84342f5aedc,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,0409b34291f553ef52c050af31c58d3dae28030e0cb789e176b1642b48105db0,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_icc_gamma_1_0,icc_profile,matrix_trc_gamma_1_0,pillow,raw_ignore_orientation_no_icc_transform,938904619cc6ec6eb24f2ae16e85673026b3792fd7cb44d096c5d84342f5aedc,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,0409b34291f553ef52c050af31c58d3dae28030e0cb789e176b1642b48105db0,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_icc_gamma_2_2,icc_profile,matrix_trc_gamma_2_2,ffmpeg,raw_ignore_orientation_no_icc_transform,7e92c00bc5508df483d9eef9a05b72ab4ca531057be13c21cf385ea2e14cb6fb,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_icc_gamma_2_2,icc_profile,matrix_trc_gamma_2_2,opencv,raw_ignore_orientation_no_icc_transform,7e92c00bc5508df483d9eef9a05b72ab4ca531057be13c21cf385ea2e14cb6fb,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_icc_gamma_2_2,icc_profile,matrix_trc_gamma_2_2,pillow,raw_ignore_orientation_no_icc_transform,7e92c00bc5508df483d9eef9a05b72ab4ca531057be13c21cf385ea2e14cb6fb,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_1,exif_orientation,orientation_1,ffmpeg,raw_ignore_orientation_no_icc_transform,5724237353edd68e5abe83191f0ec560f8e12dc08bcd9c66c7e2157794d57d49,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,1,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_1,exif_orientation,orientation_1,opencv,raw_ignore_orientation_no_icc_transform,5724237353edd68e5abe83191f0ec560f8e12dc08bcd9c66c7e2157794d57d49,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,1,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_1,exif_orientation,orientation_1,pillow,raw_ignore_orientation_no_icc_transform,5724237353edd68e5abe83191f0ec560f8e12dc08bcd9c66c7e2157794d57d49,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,1,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_2,exif_orientation,orientation_2,ffmpeg,raw_ignore_orientation_no_icc_transform,9b759c4bdab0adc0828870bf6a1bb607b5b5b6e0c5c75e516ee4ce2f052e709f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_2,exif_orientation,orientation_2,opencv,raw_ignore_orientation_no_icc_transform,9b759c4bdab0adc0828870bf6a1bb607b5b5b6e0c5c75e516ee4ce2f052e709f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_2,exif_orientation,orientation_2,pillow,raw_ignore_orientation_no_icc_transform,9b759c4bdab0adc0828870bf6a1bb607b5b5b6e0c5c75e516ee4ce2f052e709f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_3,exif_orientation,orientation_3,ffmpeg,raw_ignore_orientation_no_icc_transform,c62ea01dd5ca9c7c0f6ba7b589506beb943a239d3c007955e77c1fb2280b0c9f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,3,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_3,exif_orientation,orientation_3,opencv,raw_ignore_orientation_no_icc_transform,c62ea01dd5ca9c7c0f6ba7b589506beb943a239d3c007955e77c1fb2280b0c9f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,3,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_3,exif_orientation,orientation_3,pillow,raw_ignore_orientation_no_icc_transform,c62ea01dd5ca9c7c0f6ba7b589506beb943a239d3c007955e77c1fb2280b0c9f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,3,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_4,exif_orientation,orientation_4,ffmpeg,raw_ignore_orientation_no_icc_transform,86072ca4c3409e1c98d56074ef38408551790455a7cfec68fbbb17449c4a0684,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,4,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_4,exif_orientation,orientation_4,opencv,raw_ignore_orientation_no_icc_transform,86072ca4c3409e1c98d56074ef38408551790455a7cfec68fbbb17449c4a0684,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,4,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_4,exif_orientation,orientation_4,pillow,raw_ignore_orientation_no_icc_transform,86072ca4c3409e1c98d56074ef38408551790455a7cfec68fbbb17449c4a0684,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,4,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_5,exif_orientation,orientation_5,ffmpeg,raw_ignore_orientation_no_icc_transform,0635f8e58b823ceb627dc7999b8505c67d2b5d769f5d974c3cb89409dbd6e464,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,5,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_5,exif_orientation,orientation_5,opencv,raw_ignore_orientation_no_icc_transform,0635f8e58b823ceb627dc7999b8505c67d2b5d769f5d974c3cb89409dbd6e464,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,5,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_5,exif_orientation,orientation_5,pillow,raw_ignore_orientation_no_icc_transform,0635f8e58b823ceb627dc7999b8505c67d2b5d769f5d974c3cb89409dbd6e464,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,5,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_6,exif_orientation,orientation_6,ffmpeg,raw_ignore_orientation_no_icc_transform,c537d2aec92b6e9de39bcd63e1c731e18304174f235b03b6e47291c24c515d68,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,6,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_6,exif_orientation,orientation_6,opencv,raw_ignore_orientation_no_icc_transform,c537d2aec92b6e9de39bcd63e1c731e18304174f235b03b6e47291c24c515d68,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,6,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_6,exif_orientation,orientation_6,pillow,raw_ignore_orientation_no_icc_transform,c537d2aec92b6e9de39bcd63e1c731e18304174f235b03b6e47291c24c515d68,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,6,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_7,exif_orientation,orientation_7,ffmpeg,raw_ignore_orientation_no_icc_transform,443303b7e9287e79afd12ad2dceb32f644f30b432c6bfc7c4db17530c248d92b,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,7,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_7,exif_orientation,orientation_7,opencv,raw_ignore_orientation_no_icc_transform,443303b7e9287e79afd12ad2dceb32f644f30b432c6bfc7c4db17530c248d92b,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,7,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_7,exif_orientation,orientation_7,pillow,raw_ignore_orientation_no_icc_transform,443303b7e9287e79afd12ad2dceb32f644f30b432c6bfc7c4db17530c248d92b,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,7,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,ffmpeg,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,opencv,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,pillow,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_untagged,icc_profile,untagged,ffmpeg,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_untagged,icc_profile,untagged,opencv,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_untagged,icc_profile,untagged,pillow,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,ycck_adobe2,four_component_color,adobe_transform_2,ffmpeg,raw_ignore_orientation_no_icc_transform,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,none,,2,1,1,0,0,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,fca9d440634feda845a306cb5bd495e789b8f6bb2a67d949e3cdc36e3bbd1a12,52.663817664,238,0.993812322,1.000000000
macos-arm64-default,ycck_adobe2,four_component_color,adobe_transform_2,opencv,raw_ignore_orientation_no_icc_transform,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,none,,2,1,1,1,1,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,0.000000000,0,0.000000000,0.000000000
