report_family,group_id,fixture_family,fixture_id,adapter_or_policy,platform_profiles,observations,shape_contract_rate,dtype_contract_rate,exact_pixel_rate,unique_candidate_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
raw_decoder,rgb_orientation_1:ffmpeg,exif_orientation,rgb_orientation_1,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_1:opencv,exif_orientation,rgb_orientation_1,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_1:pillow,exif_orientation,rgb_orientation_1,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_2:ffmpeg,exif_orientation,rgb_orientation_2,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_2:opencv,exif_orientation,rgb_orientation_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_2:pillow,exif_orientation,rgb_orientation_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_3:ffmpeg,exif_orientation,rgb_orientation_3,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_3:opencv,exif_orientation,rgb_orientation_3,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_3:pillow,exif_orientation,rgb_orientation_3,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_4:ffmpeg,exif_orientation,rgb_orientation_4,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_4:opencv,exif_orientation,rgb_orientation_4,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_4:pillow,exif_orientation,rgb_orientation_4,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_5:ffmpeg,exif_orientation,rgb_orientation_5,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_5:opencv,exif_orientation,rgb_orientation_5,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_5:pillow,exif_orientation,rgb_orientation_5,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_6:ffmpeg,exif_orientation,rgb_orientation_6,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_6:opencv,exif_orientation,rgb_orientation_6,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_6:pillow,exif_orientation,rgb_orientation_6,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_7:ffmpeg,exif_orientation,rgb_orientation_7,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_7:opencv,exif_orientation,rgb_orientation_7,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_7:pillow,exif_orientation,rgb_orientation_7,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_8:ffmpeg,exif_orientation,rgb_orientation_8,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_8:opencv,exif_orientation,rgb_orientation_8,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_8:pillow,exif_orientation,rgb_orientation_8,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,cmyk_adobe0:ffmpeg,four_component_color,cmyk_adobe0,ffmpeg,5,5,1.000000,1.000000,0.000000,2,1.343126781,1.346376425,3
raw_decoder,cmyk_adobe0:opencv,four_component_color,cmyk_adobe0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,cmyk_adobe0:pillow,four_component_color,cmyk_adobe0,pillow,5,5,1.000000,1.000000,0.000000,1,0.817352208,0.817352208,2
raw_decoder,ycck_adobe2:ffmpeg,four_component_color,ycck_adobe2,ffmpeg,5,5,1.000000,1.000000,0.000000,1,52.663817664,52.663817664,238
raw_decoder,ycck_adobe2:opencv,four_component_color,ycck_adobe2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,ycck_adobe2:pillow,four_component_color,ycck_adobe2,pillow,5,5,1.000000,1.000000,0.000000,1,0.806490385,0.806490385,2
raw_decoder,rgb_icc_gamma_1_0:ffmpeg,icc_profile,rgb_icc_gamma_1_0,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_icc_gamma_1_0:opencv,icc_profile,rgb_icc_gamma_1_0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_icc_gamma_1_0:pillow,icc_profile,rgb_icc_gamma_1_0,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_icc_gamma_2_2:ffmpeg,icc_profile,rgb_icc_gamma_2_2,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_icc_gamma_2_2:opencv,icc_profile,rgb_icc_gamma_2_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_icc_gamma_2_2:pillow,icc_profile,rgb_icc_gamma_2_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_untagged:ffmpeg,icc_profile,rgb_untagged,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_untagged:opencv,icc_profile,rgb_untagged,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_untagged:pillow,icc_profile,rgb_untagged,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:opencv_apply_orientation,exif_orientation,rgb_orientation_1,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:opencv_ignore_orientation,exif_orientation,rgb_orientation_1,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:pillow_exif_transpose,exif_orientation,rgb_orientation_1,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:pillow_ignore_orientation,exif_orientation,rgb_orientation_1,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:opencv_apply_orientation,exif_orientation,rgb_orientation_2,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:opencv_ignore_orientation,exif_orientation,rgb_orientation_2,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:pillow_exif_transpose,exif_orientation,rgb_orientation_2,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:pillow_ignore_orientation,exif_orientation,rgb_orientation_2,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:opencv_apply_orientation,exif_orientation,rgb_orientation_3,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:opencv_ignore_orientation,exif_orientation,rgb_orientation_3,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:pillow_exif_transpose,exif_orientation,rgb_orientation_3,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:pillow_ignore_orientation,exif_orientation,rgb_orientation_3,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:opencv_apply_orientation,exif_orientation,rgb_orientation_4,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:opencv_ignore_orientation,exif_orientation,rgb_orientation_4,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:pillow_exif_transpose,exif_orientation,rgb_orientation_4,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:pillow_ignore_orientation,exif_orientation,rgb_orientation_4,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:opencv_apply_orientation,exif_orientation,rgb_orientation_5,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:opencv_ignore_orientation,exif_orientation,rgb_orientation_5,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:pillow_exif_transpose,exif_orientation,rgb_orientation_5,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:pillow_ignore_orientation,exif_orientation,rgb_orientation_5,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:opencv_apply_orientation,exif_orientation,rgb_orientation_6,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:opencv_ignore_orientation,exif_orientation,rgb_orientation_6,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:pillow_exif_transpose,exif_orientation,rgb_orientation_6,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:pillow_ignore_orientation,exif_orientation,rgb_orientation_6,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_7:opencv_apply_orientation,exif_orientation,rgb_orientation_7,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_7:opencv_ignore_orientation,exif_orientation,rgb_orientation_7,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_7:pillow_exif_transpose,exif_orientation,rgb_orientation_7,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_7:pillow_ignore_orientation,exif_orientation,rgb_orientation_7,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_8:opencv_apply_orientation,exif_orientation,rgb_orientation_8,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_8:opencv_ignore_orientation,exif_orientation,rgb_orientation_8,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_8:pillow_exif_transpose,exif_orientation,rgb_orientation_8,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_8:pillow_ignore_orientation,exif_orientation,rgb_orientation_8,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,cmyk_adobe0:ffmpeg_rendered_bgr,four_component_color,cmyk_adobe0,ffmpeg_rendered_bgr,5,5,1.000000,1.000000,0.000000,2,1.967770655,1.968171296,24
interpretation_policy,cmyk_adobe0:opencv_rendered_bgr,four_component_color,cmyk_adobe0,opencv_rendered_bgr,5,5,1.000000,1.000000,0.000000,1,2.164975071,2.164975071,26
interpretation_policy,cmyk_adobe0:pillow_rendered_bgr,four_component_color,cmyk_adobe0,pillow_rendered_bgr,5,5,1.000000,1.000000,0.000000,1,1.827323718,1.827323718,26
interpretation_policy,ycck_adobe2:ffmpeg_rendered_bgr,four_component_color,ycck_adobe2,ffmpeg_rendered_bgr,5,5,1.000000,1.000000,0.000000,1,53.070735399,53.070735399,238
interpretation_policy,ycck_adobe2:opencv_rendered_bgr,four_component_color,ycck_adobe2,opencv_rendered_bgr,5,5,1.000000,1.000000,0.000000,1,4.141070157,4.141070157,55
interpretation_policy,ycck_adobe2:pillow_rendered_bgr,four_component_color,ycck_adobe2,pillow_rendered_bgr,5,5,1.000000,1.000000,0.000000,1,3.954148860,3.954148860,54
interpretation_policy,rgb_icc_gamma_1_0:icc_to_srgb_relative,icc_profile,rgb_icc_gamma_1_0,icc_to_srgb_relative,5,5,1.000000,1.000000,0.000000,1,47.907629986,47.907629986,73
interpretation_policy,rgb_icc_gamma_1_0:pillow_unmanaged,icc_profile,rgb_icc_gamma_1_0,pillow_unmanaged,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_icc_gamma_2_2:icc_to_srgb_relative,icc_profile,rgb_icc_gamma_2_2,icc_to_srgb_relative,5,5,1.000000,1.000000,0.000000,1,2.139912749,2.139912749,9
interpretation_policy,rgb_icc_gamma_2_2:pillow_unmanaged,icc_profile,rgb_icc_gamma_2_2,pillow_unmanaged,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_untagged:icc_to_srgb_relative,icc_profile,rgb_untagged,icc_to_srgb_relative,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_untagged:pillow_unmanaged,icc_profile,rgb_untagged,pillow_unmanaged,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,cmyk_ycck_rendered_equivalence:cmyk_adobe0:ycck_adobe2:ffmpeg,cmyk_ycck_rendered_equivalence,cmyk_adobe0->ycck_adobe2,ffmpeg,5,5,1.000000,1.000000,0.000000,1,53.127403846,53.128694801,237
control_pair,cmyk_ycck_rendered_equivalence:cmyk_adobe0:ycck_adobe2:opencv,cmyk_ycck_rendered_equivalence,cmyk_adobe0->ycck_adobe2,opencv,5,5,1.000000,1.000000,0.000000,1,4.514200499,4.514200499,59
control_pair,cmyk_ycck_rendered_equivalence:cmyk_adobe0:ycck_adobe2:pillow,cmyk_ycck_rendered_equivalence,cmyk_adobe0->ycck_adobe2,pillow,5,5,1.000000,1.000000,0.000000,1,4.534321581,4.534321581,60
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_2:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_2,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_2:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_2:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_3:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_3,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_3:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_3,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_3:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_3,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_4:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_4,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_4:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_4,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_4:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_4,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_managed_profile_response:rgb_icc_gamma_1_0:rgb_icc_gamma_2_2:pillow_imagecms,icc_managed_profile_response,rgb_icc_gamma_1_0->rgb_icc_gamma_2_2,pillow_imagecms,5,5,1.000000,1.000000,0.000000,1,48.901620370,48.901620370,76
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:ffmpeg,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:opencv,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:pillow,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:ffmpeg,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:opencv,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:pillow,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
