pattern,gradient_axis_degrees,condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,relative_motion_angle_degrees,noise_std,metric,trials,score_mean,score_sample_std,score_p10,score_median,score_p90,ratio_mean,ratio_sample_std,ratio_p10,ratio_median,ratio_p90
grating_0,0,identity,identity,0,,,,0,laplacian_variance,10,148.979477,0.000000,148.979477,148.979477,148.979477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,identity,identity,0,,,,0,tenengrad_energy,10,56557.937500,0.000000,56557.937500,56557.937500,56557.937500,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,identity,identity,0,,,,5,laplacian_variance,10,653.482246,3.409831,650.783371,653.260460,658.234436,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,identity,identity,0,,,,5,tenengrad_energy,10,57156.435803,21.426072,57135.222335,57152.642395,57182.791812,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,identity,identity,0,,,,15,laplacian_variance,10,4462.540865,14.228881,4445.864665,4462.164121,4482.478198,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,identity,identity,0,,,,15,tenengrad_energy,10,61400.040115,100.282758,61270.676899,61398.662995,61499.303687,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,defocus_r1,disk_defocus,1,,,,0,laplacian_variance,10,135.905273,0.000000,135.905273,135.905273,135.905273,0.912242,0.000000,0.912242,0.912242,0.912242
grating_0,0,defocus_r1,disk_defocus,1,,,,0,tenengrad_energy,10,53213.125000,0.000000,53213.125000,53213.125000,53213.125000,0.940860,0.000000,0.940860,0.940860,0.940860
grating_0,0,defocus_r1,disk_defocus,1,,,,5,laplacian_variance,10,640.475340,3.534816,637.523052,640.198282,645.432929,0.980095,0.000414,0.979727,0.979983,0.980552
grating_0,0,defocus_r1,disk_defocus,1,,,,5,tenengrad_energy,10,53811.948608,20.667478,53791.579751,53808.752442,53837.204825,0.941485,0.000010,0.941472,0.941487,0.941496
grating_0,0,defocus_r1,disk_defocus,1,,,,15,laplacian_variance,10,4513.057365,14.261902,4497.723647,4511.483782,4531.718529,1.011320,0.000485,1.010588,1.011383,1.011807
grating_0,0,defocus_r1,disk_defocus,1,,,,15,tenengrad_energy,10,58275.072766,102.274183,58144.164203,58279.275711,58375.424652,0.949105,0.000129,0.948972,0.949130,0.949244
grating_0,0,defocus_r2,disk_defocus,2,,,,0,laplacian_variance,10,121.384521,0.000000,121.384521,121.384521,121.384521,0.814773,0.000000,0.814773,0.814773,0.814773
grating_0,0,defocus_r2,disk_defocus,2,,,,0,tenengrad_energy,10,47742.750000,0.000000,47742.750000,47742.750000,47742.750000,0.844139,0.000000,0.844139,0.844139,0.844139
grating_0,0,defocus_r2,disk_defocus,2,,,,5,laplacian_variance,10,625.942085,3.454557,623.247502,625.600725,630.822476,0.957855,0.000403,0.957551,0.957719,0.958356
grating_0,0,defocus_r2,disk_defocus,2,,,,5,tenengrad_energy,10,48341.721997,19.553202,48323.279523,48338.986268,48366.108316,0.845779,0.000028,0.845740,0.845780,0.845816
grating_0,0,defocus_r2,disk_defocus,2,,,,15,laplacian_variance,10,4564.600423,14.937141,4549.688437,4562.093617,4582.799151,1.022870,0.001045,1.021154,1.023204,1.023775
grating_0,0,defocus_r2,disk_defocus,2,,,,15,tenengrad_energy,10,53003.442151,103.345487,52870.259409,53012.206467,53106.925726,0.863247,0.000301,0.862897,0.863278,0.863587
grating_0,0,defocus_r3,disk_defocus,3,,,,0,laplacian_variance,10,98.316406,0.000000,98.316406,98.316406,98.316406,0.659933,0.000000,0.659933,0.659933,0.659933
grating_0,0,defocus_r3,disk_defocus,3,,,,0,tenengrad_energy,10,38908.625000,0.000000,38908.625000,38908.625000,38908.625000,0.687943,0.000000,0.687943,0.687943,0.687943
grating_0,0,defocus_r3,disk_defocus,3,,,,5,laplacian_variance,10,602.911265,3.516601,600.066358,602.582437,607.858422,0.922610,0.000639,0.922017,0.922423,0.923468
grating_0,0,defocus_r3,disk_defocus,3,,,,5,tenengrad_energy,10,39508.091235,17.402265,39491.610700,39506.026733,39528.425418,0.691227,0.000050,0.691170,0.691219,0.691269
grating_0,0,defocus_r3,disk_defocus,3,,,,15,laplacian_variance,10,4589.125396,15.756591,4572.068776,4588.273135,4605.685564,1.028367,0.001694,1.026029,1.028821,1.030233
grating_0,0,defocus_r3,disk_defocus,3,,,,15,tenengrad_energy,10,44290.119730,101.590616,44163.705786,44296.527389,44397.005548,0.721336,0.000511,0.720797,0.721384,0.721911
grating_0,0,defocus_r5,disk_defocus,5,,,,0,laplacian_variance,10,47.162537,0.000000,47.162537,47.162537,47.162537,0.316571,0.000000,0.316571,0.316571,0.316571
grating_0,0,defocus_r5,disk_defocus,5,,,,0,tenengrad_energy,10,18560.125000,0.000000,18560.125000,18560.125000,18560.125000,0.328161,0.000000,0.328161,0.328161,0.328161
grating_0,0,defocus_r5,disk_defocus,5,,,,5,laplacian_variance,10,551.743991,3.522122,548.840762,551.567982,556.653525,0.844309,0.001027,0.843353,0.844156,0.845677
grating_0,0,defocus_r5,disk_defocus,5,,,,5,tenengrad_energy,10,19160.268066,12.420218,19148.756916,19157.995972,19174.032147,0.335225,0.000095,0.335136,0.335203,0.335353
grating_0,0,defocus_r5,disk_defocus,5,,,,15,laplacian_variance,10,4549.978542,16.454609,4532.018174,4547.530763,4567.073038,1.019594,0.001922,1.017229,1.019691,1.021832
grating_0,0,defocus_r5,disk_defocus,5,,,,15,tenengrad_energy,10,23958.943582,81.198155,23864.670935,23959.884201,24046.537073,0.390210,0.000705,0.389496,0.390235,0.391005
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,0,laplacian_variance,10,113.015121,0.000000,113.015121,113.015121,113.015121,0.758595,0.000000,0.758595,0.758595,0.758595
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,0,tenengrad_energy,10,44476.562500,0.000000,44476.562500,44476.562500,44476.562500,0.786389,0.000000,0.786389,0.786389,0.786389
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,5,laplacian_variance,10,617.557295,3.439503,614.788836,617.191077,622.445574,0.945024,0.000467,0.944621,0.944793,0.945638
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,5,tenengrad_energy,10,45075.641113,18.899463,45057.845746,45072.642822,45098.167129,0.788636,0.000037,0.788589,0.788635,0.788667
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,15,laplacian_variance,10,4581.672033,15.194819,4565.423927,4580.025674,4598.006249,1.026696,0.001361,1.024635,1.027067,1.027910
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,15,tenengrad_energy,10,49806.877588,105.116537,49673.346036,49817.729782,49916.255402,0.811186,0.000427,0.810720,0.811202,0.811662
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,0,laplacian_variance,10,125.587646,0.000000,125.587646,125.587646,125.587646,0.842986,0.000000,0.842986,0.842986,0.842986
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,0,tenengrad_energy,10,49408.000000,0.000000,49408.000000,49408.000000,49408.000000,0.873582,0.000000,0.873582,0.873582,0.873582
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,5,laplacian_variance,10,630.131932,3.457607,627.266594,629.877122,635.008169,0.964267,0.000366,0.963861,0.964205,0.964714
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,5,tenengrad_energy,10,50006.978381,19.978877,49988.215265,50003.635559,50031.604471,0.874914,0.000025,0.874890,0.874915,0.874942
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,15,laplacian_variance,10,4550.782076,14.782033,4535.842114,4548.237150,4569.363412,1.019774,0.000874,1.018335,1.020097,1.020559
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,15,tenengrad_energy,10,54616.114356,103.097189,54484.565543,54623.943771,54718.795532,0.889512,0.000253,0.889243,0.889523,0.889811
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,0,laplacian_variance,10,148.979477,0.000000,148.979477,148.979477,148.979477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,0,tenengrad_energy,10,56557.937500,0.000000,56557.937500,56557.937500,56557.937500,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,5,laplacian_variance,10,653.482246,3.409831,650.783371,653.260460,658.234436,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,5,tenengrad_energy,10,57156.435803,21.426072,57135.222335,57152.642395,57182.791812,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,15,laplacian_variance,10,4462.540865,14.228881,4445.864665,4462.164121,4482.478198,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,15,tenengrad_energy,10,61400.040115,100.282758,61270.676899,61398.662995,61499.303687,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,0,laplacian_variance,10,125.587646,0.000000,125.587646,125.587646,125.587646,0.842986,0.000000,0.842986,0.842986,0.842986
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,0,tenengrad_energy,10,49408.000000,0.000000,49408.000000,49408.000000,49408.000000,0.873582,0.000000,0.873582,0.873582,0.873582
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,5,laplacian_variance,10,630.131932,3.457607,627.266594,629.877122,635.008169,0.964267,0.000366,0.963861,0.964205,0.964714
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,5,tenengrad_energy,10,50006.978381,19.978877,49988.215265,50003.635559,50031.604471,0.874914,0.000025,0.874890,0.874915,0.874942
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,15,laplacian_variance,10,4550.782076,14.782033,4535.842114,4548.237150,4569.363412,1.019774,0.000874,1.018335,1.020097,1.020559
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,15,tenengrad_energy,10,54616.114356,103.097189,54484.565543,54623.943771,54718.795532,0.889512,0.000253,0.889243,0.889523,0.889811
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,0,laplacian_variance,10,55.232849,0.000000,55.232849,55.232849,55.232849,0.370741,0.000000,0.370741,0.370741,0.370741
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,0,tenengrad_energy,10,21883.250000,0.000000,21883.250000,21883.250000,21883.250000,0.386917,0.000000,0.386917,0.386917,0.386917
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,5,laplacian_variance,10,559.783448,3.512672,556.904590,559.573063,564.690360,0.856612,0.000967,0.855679,0.856421,0.857886
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,5,tenengrad_energy,10,22483.051819,13.452954,22470.026252,22480.850464,22497.118717,0.393360,0.000090,0.393264,0.393340,0.393470
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,15,laplacian_variance,10,4557.934067,16.372556,4539.976222,4555.572843,4574.863553,1.021377,0.001910,1.018955,1.021498,1.023595
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,15,tenengrad_energy,10,27283.761783,85.643386,27181.828686,27286.727707,27376.490851,0.444360,0.000690,0.443635,0.444418,0.445151
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,0,laplacian_variance,10,89.602036,0.000000,89.602036,89.602036,89.602036,0.601439,0.000000,0.601439,0.601439,0.601439
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,0,tenengrad_energy,10,35440.187500,0.000000,35440.187500,35440.187500,35440.187500,0.626617,0.000000,0.626617,0.626617,0.626617
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,5,laplacian_variance,10,594.157630,3.463808,591.360726,593.908351,599.040976,0.909215,0.000609,0.908619,0.909145,0.910072
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,5,tenengrad_energy,10,36039.644238,16.705263,36023.669305,36036.880066,36058.595181,0.630544,0.000060,0.630475,0.630532,0.630605
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,15,laplacian_variance,10,4587.144677,16.128362,4570.050294,4584.851949,4605.038106,1.027923,0.001778,1.025660,1.028348,1.029912
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,15,tenengrad_energy,10,40836.121005,99.597675,40714.483960,40841.402421,40943.117712,0.665082,0.000574,0.664502,0.665103,0.665749
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,0,laplacian_variance,10,148.979477,0.000000,148.979477,148.979477,148.979477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,0,tenengrad_energy,10,56557.937500,0.000000,56557.937500,56557.937500,56557.937500,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,5,laplacian_variance,10,653.482246,3.409831,650.783371,653.260460,658.234436,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,5,tenengrad_energy,10,57156.435803,21.426072,57135.222335,57152.642395,57182.791812,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,15,laplacian_variance,10,4462.540865,14.228881,4445.864665,4462.164121,4482.478198,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,15,tenengrad_energy,10,61400.040115,100.282758,61270.676899,61398.662995,61499.303687,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,0,laplacian_variance,10,89.602036,0.000000,89.602036,89.602036,89.602036,0.601439,0.000000,0.601439,0.601439,0.601439
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,0,tenengrad_energy,10,35440.187500,0.000000,35440.187500,35440.187500,35440.187500,0.626617,0.000000,0.626617,0.626617,0.626617
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,5,laplacian_variance,10,594.157630,3.463808,591.360726,593.908351,599.040976,0.909215,0.000609,0.908619,0.909145,0.910072
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,5,tenengrad_energy,10,36039.644238,16.705263,36023.669305,36036.880066,36058.595181,0.630544,0.000060,0.630475,0.630532,0.630605
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,15,laplacian_variance,10,4587.144677,16.128362,4570.050294,4584.851949,4605.038106,1.027923,0.001778,1.025660,1.028348,1.029912
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,15,tenengrad_energy,10,40836.121005,99.597675,40714.483960,40841.402421,40943.117712,0.665082,0.000574,0.664502,0.665103,0.665749
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,laplacian_variance,10,2.675766,0.000000,2.675766,2.675766,2.675766,0.017961,0.000000,0.017961,0.017961,0.017961
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,tenengrad_energy,10,972.812500,0.000000,972.812500,972.812500,972.812500,0.017200,0.000000,0.017200,0.017200,0.017200
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,5,laplacian_variance,10,507.232583,3.526978,504.367657,506.928640,512.202624,0.776193,0.001413,0.774933,0.775948,0.778146
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,5,tenengrad_energy,10,1574.161340,4.719004,1569.957446,1572.975830,1581.147125,0.027541,0.000075,0.027472,0.027519,0.027647
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,15,laplacian_variance,10,4505.353413,16.467372,4487.450067,4502.725457,4522.361291,1.009594,0.001923,1.007186,1.009626,1.011976
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,15,tenengrad_energy,10,6355.986746,41.262511,6308.771212,6350.217071,6400.623837,0.103517,0.000523,0.102874,0.103469,0.104043
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,laplacian_variance,10,30.909409,0.000000,30.909409,30.909409,30.909409,0.207474,0.000000,0.207474,0.207474,0.207474
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,tenengrad_energy,10,12224.312500,0.000000,12224.312500,12224.312500,12224.312500,0.216138,0.000000,0.216138,0.216138,0.216138
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,5,laplacian_variance,10,535.461484,3.514796,532.621201,535.161813,540.425289,0.819392,0.001171,0.818320,0.819217,0.821023
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,5,tenengrad_energy,10,12824.656751,10.234825,12815.288006,12823.036499,12836.510834,0.224378,0.000097,0.224289,0.224361,0.224510
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,15,laplacian_variance,10,4533.576625,16.484190,4515.595858,4530.919950,4550.810317,1.015918,0.001930,1.013516,1.015953,1.018337
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,15,tenengrad_energy,10,17618.863040,71.264960,17537.035364,17617.749252,17695.484826,0.286951,0.000707,0.286222,0.286940,0.287735
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,laplacian_variance,10,148.979477,0.000000,148.979477,148.979477,148.979477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,tenengrad_energy,10,56557.937500,0.000000,56557.937500,56557.937500,56557.937500,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,5,laplacian_variance,10,653.482246,3.409831,650.783371,653.260460,658.234436,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,5,tenengrad_energy,10,57156.435803,21.426072,57135.222335,57152.642395,57182.791812,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,15,laplacian_variance,10,4462.540865,14.228881,4445.864665,4462.164121,4482.478198,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,15,tenengrad_energy,10,61400.040115,100.282758,61270.676899,61398.662995,61499.303687,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,0,laplacian_variance,10,30.909409,0.000000,30.909409,30.909409,30.909409,0.207474,0.000000,0.207474,0.207474,0.207474
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,0,tenengrad_energy,10,12224.312500,0.000000,12224.312500,12224.312500,12224.312500,0.216138,0.000000,0.216138,0.216138,0.216138
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,5,laplacian_variance,10,535.461484,3.514796,532.621201,535.161813,540.425289,0.819392,0.001171,0.818320,0.819217,0.821023
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,5,tenengrad_energy,10,12824.656751,10.234825,12815.288006,12823.036499,12836.510834,0.224378,0.000097,0.224289,0.224361,0.224510
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,15,laplacian_variance,10,4533.576625,16.484190,4515.595858,4530.919950,4550.810317,1.015918,0.001930,1.013516,1.015953,1.018337
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,15,tenengrad_energy,10,17618.863040,71.264960,17537.035364,17617.749252,17695.484826,0.286951,0.000707,0.286222,0.286940,0.287735
grating_45,45,identity,identity,0,,,,0,laplacian_variance,10,172.311675,0.000000,172.311675,172.311675,172.311675,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,0,tenengrad_energy,10,55502.132477,0.000000,55502.132477,55502.132477,55502.132477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,5,laplacian_variance,10,675.106907,3.326487,671.607879,674.581039,679.076943,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,5,tenengrad_energy,10,56093.114914,26.225629,56052.262348,56099.239700,56112.428452,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,15,laplacian_variance,10,4504.313187,30.757542,4466.253947,4513.191115,4537.021862,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,15,tenengrad_energy,10,60281.790250,120.474915,60163.457435,60263.900878,60416.275772,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,defocus_r1,disk_defocus,1,,,,0,laplacian_variance,10,144.852966,0.000000,144.852966,144.852966,144.852966,0.840645,0.000000,0.840645,0.840645,0.840645
grating_45,45,defocus_r1,disk_defocus,1,,,,0,tenengrad_energy,10,52035.324432,0.000000,52035.324432,52035.324432,52035.324432,0.937537,0.000000,0.937537,0.937537,0.937537
grating_45,45,defocus_r1,disk_defocus,1,,,,5,laplacian_variance,10,647.476391,3.645023,642.854150,647.499846,652.101610,0.959070,0.001241,0.957835,0.958973,0.960491
grating_45,45,defocus_r1,disk_defocus,1,,,,5,tenengrad_energy,10,52627.053244,25.056023,52588.085199,52634.183213,52644.540335,0.938209,0.000019,0.938181,0.938211,0.938229
grating_45,45,defocus_r1,disk_defocus,1,,,,15,laplacian_variance,10,4540.468544,31.599690,4497.638379,4549.357206,4576.420214,1.008026,0.000699,1.007207,1.008218,1.008786
grating_45,45,defocus_r1,disk_defocus,1,,,,15,tenengrad_energy,10,57028.332160,120.615991,56905.431528,57017.529297,57155.825375,0.946029,0.000145,0.945847,0.946026,0.946210
grating_45,45,defocus_r2,disk_defocus,2,,,,0,laplacian_variance,10,124.696625,0.000000,124.696625,124.696625,124.696625,0.723669,0.000000,0.723669,0.723669,0.723669
grating_45,45,defocus_r2,disk_defocus,2,,,,0,tenengrad_energy,10,46607.182739,0.000000,46607.182739,46607.182739,46607.182739,0.839737,0.000000,0.839737,0.839737,0.839737
grating_45,45,defocus_r2,disk_defocus,2,,,,5,laplacian_variance,10,627.163767,3.292184,623.317819,626.854366,631.925235,0.928983,0.001045,0.927657,0.928858,0.930098
grating_45,45,defocus_r2,disk_defocus,2,,,,5,tenengrad_energy,10,47199.755020,23.476768,47163.897400,47207.525315,47215.678635,0.841453,0.000039,0.841411,0.841454,0.841499
grating_45,45,defocus_r2,disk_defocus,2,,,,15,laplacian_variance,10,4586.866833,32.236406,4545.393651,4593.222660,4624.343191,1.018327,0.000962,1.017242,1.018327,1.019523
grating_45,45,defocus_r2,disk_defocus,2,,,,15,tenengrad_energy,10,51802.975732,118.827677,51677.588333,51798.962326,51918.024582,0.859347,0.000331,0.858953,0.859288,0.859816
grating_45,45,defocus_r3,disk_defocus,3,,,,0,laplacian_variance,10,99.426544,0.000000,99.426544,99.426544,99.426544,0.577016,0.000000,0.577016,0.577016,0.577016
grating_45,45,defocus_r3,disk_defocus,3,,,,0,tenengrad_energy,10,37924.673706,0.000000,37924.673706,37924.673706,37924.673706,0.683301,0.000000,0.683301,0.683301,0.683301
grating_45,45,defocus_r3,disk_defocus,3,,,,5,laplacian_variance,10,602.016281,3.231869,598.693011,601.820402,606.500311,0.891734,0.001342,0.890531,0.891589,0.893378
grating_45,45,defocus_r3,disk_defocus,3,,,,5,tenengrad_energy,10,38518.854019,20.167707,38487.254212,38526.388199,38532.190671,0.686695,0.000058,0.686629,0.686702,0.686766
grating_45,45,defocus_r3,disk_defocus,3,,,,15,laplacian_variance,10,4609.322498,32.804574,4565.993279,4616.766805,4648.991890,1.023313,0.001555,1.021516,1.023690,1.024679
grating_45,45,defocus_r3,disk_defocus,3,,,,15,tenengrad_energy,10,43245.159909,113.892255,43121.964652,43243.962692,43344.621957,0.717383,0.000553,0.716747,0.717284,0.718105
grating_45,45,defocus_r5,disk_defocus,5,,,,0,laplacian_variance,10,48.906403,0.000000,48.906403,48.906403,48.906403,0.283825,0.000000,0.283825,0.283825,0.283825
grating_45,45,defocus_r5,disk_defocus,5,,,,0,tenengrad_energy,10,18549.096466,0.000000,18549.096466,18549.096466,18549.096466,0.334205,0.000000,0.334205,0.334205,0.334205
